,activation,epochs,loss_,neurons,optimizer_,means
0,relu,5,binary_crossentropy,16,sgd,73.48484992980957
1,relu,5,binary_crossentropy,16,adam,87.34217087427774
2,relu,5,binary_crossentropy,16,ftrl,54.98737494150797
3,relu,5,binary_crossentropy,16,RMSprop,78.6300520102183
4,relu,5,binary_crossentropy,32,sgd,77.02020208040872
5,relu,5,binary_crossentropy,32,adam,91.41414165496826
6,relu,5,binary_crossentropy,32,ftrl,36.07954680919647
7,relu,5,binary_crossentropy,32,RMSprop,81.59722288449606
8,relu,5,binary_crossentropy,64,sgd,68.75
9,relu,5,binary_crossentropy,64,adam,92.70833333333334
10,relu,5,binary_crossentropy,64,ftrl,46.36995097001393
11,relu,5,binary_crossentropy,64,RMSprop,84.1856062412262
12,relu,5,binary_crossentropy,128,sgd,76.83080633481345
13,relu,5,binary_crossentropy,128,adam,91.41414165496826
14,relu,5,binary_crossentropy,128,ftrl,55.30303120613098
15,relu,5,binary_crossentropy,128,RMSprop,74.58964586257935
16,relu,5,binary_crossentropy,256,sgd,70.23358543713888
17,relu,5,binary_crossentropy,256,adam,87.02651659647623
18,relu,5,binary_crossentropy,256,ftrl,54.98737494150797
19,relu,5,binary_crossentropy,256,RMSprop,79.92424170176187
20,relu,10,binary_crossentropy,16,sgd,78.3143937587738
21,relu,10,binary_crossentropy,16,adam,91.69823129971823
22,relu,10,binary_crossentropy,16,ftrl,44.79166815678279
23,relu,10,binary_crossentropy,16,RMSprop,85.47979791959128
24,relu,10,binary_crossentropy,32,sgd,72.75883754094443
25,relu,10,binary_crossentropy,32,adam,95.48611243565878
26,relu,10,binary_crossentropy,32,ftrl,63.0050520102183
27,relu,10,binary_crossentropy,32,RMSprop,85.29040416081747
28,relu,10,binary_crossentropy,64,sgd,84.59596037864685
29,relu,10,binary_crossentropy,64,adam,93.24494997660318
30,relu,10,binary_crossentropy,64,ftrl,47.88510203361511
31,relu,10,binary_crossentropy,64,RMSprop,85.35353342692056
32,relu,10,binary_crossentropy,128,sgd,78.18813125292459
33,relu,10,binary_crossentropy,128,adam,95.07575829823813
34,relu,10,binary_crossentropy,128,ftrl,54.98737494150797
35,relu,10,binary_crossentropy,128,RMSprop,83.20706884066263
36,relu,10,binary_crossentropy,256,sgd,63.06818127632141
37,relu,10,binary_crossentropy,256,adam,95.67550420761108
38,relu,10,binary_crossentropy,256,ftrl,57.26010203361511
39,relu,10,binary_crossentropy,256,RMSprop,75.2525269985199
40,relu,15,binary_crossentropy,16,sgd,76.60984794298807
41,relu,15,binary_crossentropy,16,adam,94.31818326314291
42,relu,15,binary_crossentropy,16,ftrl,54.98737494150797
